,BlackRock Multi-Asset Income Portfolio,iShares iBoxx $ High Yield Corporate Bond ETF,BlackRock Equity Dividend Fund,iShares 20+ Year Treasury Bond ETF,Vanguard Equity-Income Fund Investor Shares,Cash
2018-03-13,8.43278694152832,66.24473571777344,13.011882781982422,106.840576171875,26.4796085357666,21.961703227668064
2018-03-14,8.417356491088867,66.16741943359375,12.932332992553711,107.78173828125,26.316511154174805,21.96255704337192
2018-03-15,8.401926040649414,66.21379089355469,12.926652908325195,107.78173828125,26.2758846282959,21.963410892269977
2018-03-16,8.409640312194824,66.35301208496094,12.966428756713867,107.39633178710938,26.361406326293945,21.96427078761771
2018-03-19,8.371065139770508,66.08232879638672,12.841422080993652,107.05567932128906,26.054962158203125,21.96685067566214
2018-03-20,8.371065139770508,66.21379089355469,12.795967102050781,106.62541961669922,26.069210052490234,21.96771070568175
2018-03-21,8.371065139770508,66.23703002929688,12.80164623260498,106.74195098876953,26.090593338012695,21.96857678380403
2018-03-22,8.324769020080566,65.84262084960938,12.523229598999023,107.79969024658203,25.49907875061035,21.96944289607148
2018-03-23,8.286194801330566,65.6724624633789,12.278898239135742,107.718994140625,25.02159309387207,21.970453400221118
2018-03-26,8.317056655883789,66.09783172607422,12.563002586364746,107.30668640136719,25.63448715209961,21.97348519155281
2018-03-27,8.301627159118652,66.0359115600586,12.432313919067383,108.4540786743164,25.377927780151367,21.974495881631437
2018-03-28,8.309341430664062,66.00499725341797,12.449359893798828,108.74092102050781,25.385053634643555,21.97550661819765
2018-03-29,8.3682279586792,66.22927856445312,12.557319641113281,109.26976013183594,25.698625564575195,21.9765174012536
2018-04-02,8.344985008239746,65.97225952148438,12.352766036987305,109.48536682128906,25.142745971679688,21.98054294540392
2018-04-03,8.360479354858398,66.15860748291016,12.500497817993164,108.64093780517578,25.477699279785156,21.98155396011024
2018-04-04,8.3682279586792,66.30614471435547,12.61413860321045,108.4163818359375,25.7342586517334,21.982571039540563
2018-04-05,8.391473770141602,66.3604965209961,12.739145278930664,107.60791015625,25.926677703857422,21.983588166030827
2018-04-06,8.3682279586792,66.2129898071289,12.534588813781738,108.78471374511719,25.442068099975586,21.984605339583204
2018-04-09,8.3682279586792,66.46146392822266,12.585728645324707,108.96435546875,25.534713745117188,21.98765714263481
2018-04-10,8.399223327636719,66.70218658447266,12.767555236816406,108.76669311523438,25.905296325683594,21.988674504457425
2018-04-11,8.399223327636719,66.72544860839844,12.696261405944824,109.15301513671875,25.784147262573242,21.989691913353045
2018-04-12,8.399223327636719,66.96619415283203,12.798925399780273,108.35348510742188,25.962312698364258,21.99070936932385
2018-04-13,8.399223327636719,67.00499725341797,12.747591018676758,108.60501861572266,25.905296325683594,21.991726872372013
2018-04-16,8.422466278076172,67.10594177246094,12.821736335754395,108.64093780517578,26.083465576171875,21.99477966400245
2018-04-17,8.437965393066406,67.13703918457031,12.878772735595703,108.9374008178711,26.211740493774414,21.99579735538184
2018-04-18,8.430215835571289,67.06709289550781,12.89018440246582,108.06603240966797,26.211740493774414,21.99681509384948
2018-04-19,8.40697193145752,66.85748291015625,12.89588451385498,107.18567657470703,25.98369026184082,21.997832879407557
2018-04-20,8.391473770141602,66.69437408447266,12.844555854797363,106.41316223144531,25.826908111572266,21.99885071205824
2018-04-23,8.3837251663208,66.51582336425781,12.867368698120117,106.44012451171875,25.86966323852539,22.001922563136027
2018-04-24,8.360479354858398,66.38380432128906,12.8046293258667,105.95500946044922,25.67011833190918,22.00294660881316
2018-04-25,8.352731704711914,66.39155578613281,12.833145141601562,105.24537658691406,25.720003128051758,22.003970702152927
2018-04-26,8.360479354858398,66.62451934814453,12.867368698120117,105.98196411132812,25.89104461669922,22.004994843157544
2018-04-27,8.37597370147705,66.59345245361328,12.89018440246582,106.79943084716797,25.933801651000977,22.00601903182923
2018-04-30,8.39932918548584,66.54685974121094,12.793219566345215,106.9880599975586,25.698625564575195,22.00909188386889
2018-05-01,8.391547203063965,66.59598541259766,12.758999824523926,106.60274505615234,25.648738861083984,22.010110237470087
2018-05-02,8.383761405944824,66.57259368896484,12.656332969665527,106.48571014404297,25.40643310546875,22.01113466422994
2018-05-03,8.36819076538086,66.56480407714844,12.587890625,106.96285247802734,25.399307250976562,22.01215913867016
2018-05-04,8.383761405944824,66.61158752441406,12.707667350769043,107.12489318847656,25.684371948242188,22.01318366079297
2018-05-07,8.383761405944824,66.6739501953125,12.730480194091797,106.9538803100586,25.74851417541504,22.01625751327913
2018-05-08,8.383761405944824,66.57259368896484,12.730480194091797,106.85482025146484,25.698625564575195,22.01728222615449
2018-05-09,8.391547203063965,66.6817855834961,12.838850975036621,106.21564483642578,25.933801651000977,22.018306986723537
2018-05-10,8.407114028930664,66.87672424316406,12.952921867370605,107.07087707519531,26.18323516845703,22.01933179498849
2018-05-11,8.414896965026855,66.85333251953125,13.00995922088623,107.34098052978516,26.24737548828125,22.02035665095157
2018-05-14,8.42268180847168,66.8689193725586,13.049886703491211,106.77378845214844,26.29726219177246,22.02343150505176
2018-05-15,8.391547203063965,66.54138946533203,12.998553276062012,105.55841827392578,26.154727935791016,22.02445655182954
2018-05-16,8.39932918548584,66.62718200683594,13.0327730178833,105.15330505371094,26.24737548828125,22.02548164631655
2018-05-17,8.39932918548584,66.66615295410156,13.049886703491211,104.62210845947266,26.225997924804688,22.026506788515007
2018-05-18,8.39932918548584,66.59598541259766,12.987142562866211,105.5224380493164,26.154727935791016,22.02753197842713
2018-05-21,8.407114028930664,66.68954467773438,13.084105491638184,105.57643127441406,26.347148895263672,22.03060783446773
2018-05-22,8.407114028930664,66.73637390136719,13.078400611877441,105.41436767578125,26.290138244628906,22.031633215256743
2018-05-23,8.39932918548584,66.79093933105469,13.04417896270752,106.17961883544922,26.347148895263672,22.032658643770525
2018-05-24,8.391547203063965,66.8299560546875,12.998553276062012,107.0259017944336,26.26875877380371,22.0336841200113
2018-05-25,8.383761405944824,66.7207260131836,12.952921867370605,107.69213104248047,26.154727935791016,22.03470964398129
2018-05-29,8.35262680053711,66.44002532958984,12.719074249267578,110.05084991455078,25.841157913208008,22.03881221719785
