,T,r,mu,sigma,S0,K,Price
9108,1.0,0.0,0.18,0.33,61.111111111111114,48.888888888888886,18.15234870207168
9109,1.0,0.0,0.18,0.33,61.111111111111114,55.00000000000001,12.758385221827984
9110,1.0,0.0,0.18,0.33,61.111111111111114,61.111111111111114,8.371018624110185
9111,1.0,0.0,0.18,0.33,61.111111111111114,67.22222222222223,5.125805281438017
9112,1.0,0.0,0.18,0.33,61.111111111111114,73.33333333333334,2.9563500004863936
9113,1.0,0.0,0.18,0.33,61.111111111111114,79.44444444444446,1.5311874901391782
9114,1.0,0.0,0.18,0.33,72.22222222222223,50.55555555555556,28.402729469045678
9115,1.0,0.0,0.18,0.33,72.22222222222223,57.77777777777778,21.670607247082604
9116,1.0,0.0,0.18,0.33,72.22222222222223,65.00000000000001,15.481194762143094
9117,1.0,0.0,0.18,0.33,72.22222222222223,72.22222222222223,9.921559381151692
9118,1.0,0.0,0.18,0.33,72.22222222222223,79.44444444444446,5.931449354397835
9119,1.0,0.0,0.18,0.33,72.22222222222223,86.66666666666669,3.298851591254735
9120,1.0,0.0,0.18,0.33,72.22222222222223,93.8888888888889,1.7378198780873368
9121,1.0,0.0,0.18,0.33,83.33333333333333,58.33333333333333,32.89917192273617
9122,1.0,0.0,0.18,0.33,83.33333333333333,66.66666666666666,24.959938850592927
9123,1.0,0.0,0.18,0.33,83.33333333333333,75.0,17.785965788752748
9124,1.0,0.0,0.18,0.33,83.33333333333333,83.33333333333333,11.343887836565154
9125,1.0,0.0,0.18,0.33,83.33333333333333,91.66666666666667,6.914602292005665
9126,1.0,0.0,0.18,0.33,83.33333333333333,100.00000000000001,3.9538996895941025
9127,1.0,0.0,0.18,0.33,83.33333333333333,108.33333333333333,2.0818150243496087
9128,1.0,0.0,0.18,0.33,94.44444444444444,66.1111111111111,37.141459610411985
9129,1.0,0.0,0.18,0.33,94.44444444444444,75.55555555555554,28.35378520080267
9130,1.0,0.0,0.18,0.33,94.44444444444444,85.0,19.961471760798585
9131,1.0,0.0,0.18,0.33,94.44444444444444,94.44444444444444,13.24259890643756
9132,1.0,0.0,0.18,0.33,94.44444444444444,103.8888888888889,7.941085825477958
9133,1.0,0.0,0.18,0.33,94.44444444444444,113.33333333333334,4.342162912197483
9134,1.0,0.0,0.18,0.33,94.44444444444444,122.77777777777779,2.416729906241691
9135,1.0,0.0,0.18,0.33,105.55555555555556,73.88888888888889,42.104039201570934
9136,1.0,0.0,0.18,0.33,105.55555555555556,84.44444444444444,31.44503786919679
9137,1.0,0.0,0.18,0.33,105.55555555555556,95.0,22.515975661758624
9138,1.0,0.0,0.18,0.33,105.55555555555556,105.55555555555556,14.775704144728987
9139,1.0,0.0,0.18,0.33,105.55555555555556,116.11111111111113,8.727167149281792
9140,1.0,0.0,0.18,0.33,105.55555555555556,126.66666666666669,4.935719736509511
9141,1.0,0.0,0.18,0.33,105.55555555555556,137.22222222222223,2.6650209816696324
9142,1.0,0.0,0.18,0.33,116.66666666666666,81.66666666666666,46.46936644980099
9143,1.0,0.0,0.18,0.33,116.66666666666666,93.33333333333331,35.020154453574065
9144,1.0,0.0,0.18,0.33,116.66666666666666,105.0,24.279266569943413
9145,1.0,0.0,0.18,0.33,116.66666666666666,116.66666666666666,16.13150503764663
9146,1.0,0.0,0.18,0.33,116.66666666666666,128.33333333333334,9.673840459750764
9147,1.0,0.0,0.18,0.33,116.66666666666666,140.0,5.505594009019653
9148,1.0,0.0,0.18,0.33,116.66666666666666,151.66666666666666,3.0090158245502256
9149,1.0,0.0,0.18,0.33,127.77777777777777,89.44444444444443,50.83911355369957
9150,1.0,0.0,0.18,0.33,127.77777777777777,102.22222222222221,38.167532982568474
9151,1.0,0.0,0.18,0.33,127.77777777777777,115.0,26.785863844661403
9152,1.0,0.0,0.18,0.33,127.77777777777777,127.77777777777777,17.5989930528667
9153,1.0,0.0,0.18,0.33,127.77777777777777,140.55555555555557,10.421762123288675
9154,1.0,0.0,0.18,0.33,127.77777777777777,153.33333333333334,5.913991802603429
9155,1.0,0.0,0.18,0.33,127.77777777777777,166.11111111111111,3.243035318428455
9156,1.0,0.0,0.18,0.33,138.88888888888889,97.22222222222221,55.17688402460071
9157,1.0,0.0,0.18,0.33,138.88888888888889,111.1111111111111,41.61003846349272
9158,1.0,0.0,0.18,0.33,138.88888888888889,125.0,28.631547121544806
9159,1.0,0.0,0.18,0.33,138.88888888888889,138.88888888888889,19.195501607047873
9160,1.0,0.0,0.18,0.33,138.88888888888889,152.7777777777778,11.498738254420068
9161,1.0,0.0,0.18,0.33,138.88888888888889,166.66666666666669,6.299829988274065
9162,1.0,0.0,0.18,0.33,138.88888888888889,180.55555555555557,3.626539932687748
9163,1.0,0.0,0.18,0.33,150.0,105.0,59.57381596854388
9164,1.0,0.0,0.18,0.33,150.0,119.99999999999999,44.897774043568646
9165,1.0,0.0,0.18,0.33,150.0,135.0,31.37431358002866
9166,1.0,0.0,0.18,0.33,150.0,150.0,20.634976900136305
9167,1.0,0.0,0.18,0.33,150.0,165.0,12.384010798451724
9168,1.0,0.0,0.18,0.33,150.0,180.00000000000003,6.990437098986847
