,T,r,mu,sigma,S0,K,Price
31752,2.5,0.0,0.18,0.26,116.66666666666666,81.66666666666666,65.59505143967966
31753,2.5,0.0,0.18,0.26,116.66666666666666,93.33333333333331,54.70693563693854
31754,2.5,0.0,0.18,0.26,116.66666666666666,105.0,43.159320859282985
31755,2.5,0.0,0.18,0.26,116.66666666666666,116.66666666666666,33.59741242888221
31756,2.5,0.0,0.18,0.26,116.66666666666666,128.33333333333334,24.837906317837252
31757,2.5,0.0,0.18,0.26,116.66666666666666,140.0,18.965092927720878
31758,2.5,0.0,0.18,0.26,116.66666666666666,151.66666666666666,12.689515689934314
31759,2.5,0.0,0.18,0.26,127.77777777777777,89.44444444444443,72.13884659657784
31760,2.5,0.0,0.18,0.26,127.77777777777777,102.22222222222221,59.41414676345445
31761,2.5,0.0,0.18,0.26,127.77777777777777,115.0,47.82198387059825
31762,2.5,0.0,0.18,0.26,127.77777777777777,127.77777777777777,36.44603722045728
31763,2.5,0.0,0.18,0.26,127.77777777777777,140.55555555555557,26.709361855120992
31764,2.5,0.0,0.18,0.26,127.77777777777777,153.33333333333334,19.546899521526345
31765,2.5,0.0,0.18,0.26,127.77777777777777,166.11111111111111,14.120203106199108
31766,2.5,0.0,0.18,0.26,138.88888888888889,97.22222222222221,78.01192607952581
31767,2.5,0.0,0.18,0.26,138.88888888888889,111.1111111111111,65.25506736413732
31768,2.5,0.0,0.18,0.26,138.88888888888889,125.0,51.760522330104784
31769,2.5,0.0,0.18,0.26,138.88888888888889,138.88888888888889,39.59455897668046
31770,2.5,0.0,0.18,0.26,138.88888888888889,152.7777777777778,29.97053470944006
31771,2.5,0.0,0.18,0.26,138.88888888888889,166.66666666666669,21.93726856195096
31772,2.5,0.0,0.18,0.26,138.88888888888889,180.55555555555557,15.674851139525979
31773,2.5,0.0,0.18,0.26,150.0,105.0,84.08809267001864
31774,2.5,0.0,0.18,0.26,150.0,119.99999999999999,69.72386279467602
31775,2.5,0.0,0.18,0.26,150.0,135.0,56.30908010047466
31776,2.5,0.0,0.18,0.26,150.0,150.0,43.21685900766244
31777,2.5,0.0,0.18,0.26,150.0,165.0,33.12710637732973
31778,2.5,0.0,0.18,0.26,150.0,180.00000000000003,23.35007615951902
31779,2.5,0.0,0.18,0.26,150.0,195.0,16.756633886046224
31780,2.5,0.0,0.18,0.33,50.0,35.0,28.343611729708208
31781,2.5,0.0,0.18,0.33,50.0,40.0,23.77210778397963
31782,2.5,0.0,0.18,0.33,50.0,45.0,19.263047162364
31783,2.5,0.0,0.18,0.33,50.0,50.0,15.295601790768085
31784,2.5,0.0,0.18,0.33,50.0,55.00000000000001,12.390104555248024
31785,2.5,0.0,0.18,0.33,50.0,60.00000000000001,9.544302550796
31786,2.5,0.0,0.18,0.33,50.0,65.0,7.102818937744381
31787,2.5,0.0,0.18,0.33,61.111111111111114,42.77777777777778,34.09387332228345
31788,2.5,0.0,0.18,0.33,61.111111111111114,48.888888888888886,29.021919034106592
31789,2.5,0.0,0.18,0.33,61.111111111111114,55.00000000000001,23.608206815883516
31790,2.5,0.0,0.18,0.33,61.111111111111114,61.111111111111114,18.626931325760285
31791,2.5,0.0,0.18,0.33,61.111111111111114,67.22222222222223,14.595763381777788
31792,2.5,0.0,0.18,0.33,61.111111111111114,73.33333333333334,11.58556372952128
31793,2.5,0.0,0.18,0.33,61.111111111111114,79.44444444444446,8.703357887027453
31794,2.5,0.0,0.18,0.33,72.22222222222223,50.55555555555556,40.48241559620556
31795,2.5,0.0,0.18,0.33,72.22222222222223,57.77777777777778,33.72256890377325
31796,2.5,0.0,0.18,0.33,72.22222222222223,65.00000000000001,27.85549342445784
31797,2.5,0.0,0.18,0.33,72.22222222222223,72.22222222222223,22.05990404640824
31798,2.5,0.0,0.18,0.33,72.22222222222223,79.44444444444446,17.385620153854024
31799,2.5,0.0,0.18,0.33,72.22222222222223,86.66666666666669,13.909435484382467
31800,2.5,0.0,0.18,0.33,72.22222222222223,93.8888888888889,10.417694883631937
31801,2.5,0.0,0.18,0.33,83.33333333333333,58.33333333333333,46.87652820548372
31802,2.5,0.0,0.18,0.33,83.33333333333333,66.66666666666666,38.51793136467238
31803,2.5,0.0,0.18,0.33,83.33333333333333,75.0,31.917305783909605
31804,2.5,0.0,0.18,0.33,83.33333333333333,83.33333333333333,25.552283788522484
31805,2.5,0.0,0.18,0.33,83.33333333333333,91.66666666666667,19.828804920376697
31806,2.5,0.0,0.18,0.33,83.33333333333333,100.00000000000001,15.416017610628217
31807,2.5,0.0,0.18,0.33,83.33333333333333,108.33333333333333,12.175464796536241
31808,2.5,0.0,0.18,0.33,94.44444444444444,66.1111111111111,53.02393421965335
31809,2.5,0.0,0.18,0.33,94.44444444444444,75.55555555555554,45.33765683580449
31810,2.5,0.0,0.18,0.33,94.44444444444444,85.0,36.04384975220552
31811,2.5,0.0,0.18,0.33,94.44444444444444,94.44444444444444,28.8809713474213
31812,2.5,0.0,0.18,0.33,94.44444444444444,103.8888888888889,22.600975149207276
31813,2.5,0.0,0.18,0.33,94.44444444444444,113.33333333333334,17.973709462265
31814,2.5,0.0,0.18,0.33,94.44444444444444,122.77777777777779,13.652470458072255
31815,2.5,0.0,0.18,0.33,105.55555555555556,73.88888888888889,59.30665348920527
31816,2.5,0.0,0.18,0.33,105.55555555555556,84.44444444444444,49.415923457350765
31817,2.5,0.0,0.18,0.33,105.55555555555556,95.0,40.65952372832002
31818,2.5,0.0,0.18,0.33,105.55555555555556,105.55555555555556,32.39877610077594
31819,2.5,0.0,0.18,0.33,105.55555555555556,116.11111111111113,24.471664237586687
31820,2.5,0.0,0.18,0.33,105.55555555555556,126.66666666666669,19.920502585395607
31821,2.5,0.0,0.18,0.33,105.55555555555556,137.22222222222223,15.389013571714589
31822,2.5,0.0,0.18,0.33,116.66666666666666,81.66666666666666,66.25556069696624
31823,2.5,0.0,0.18,0.33,116.66666666666666,93.33333333333331,55.151611522628684
31824,2.5,0.0,0.18,0.33,116.66666666666666,105.0,45.37912822081639
31825,2.5,0.0,0.18,0.33,116.66666666666666,116.66666666666666,36.68867323743932
31826,2.5,0.0,0.18,0.33,116.66666666666666,128.33333333333334,28.348275905507304
31827,2.5,0.0,0.18,0.33,116.66666666666666,140.0,22.352920173491427
31828,2.5,0.0,0.18,0.33,116.66666666666666,151.66666666666666,16.829926092021257
31829,2.5,0.0,0.18,0.33,127.77777777777777,89.44444444444443,71.54180613208409
31830,2.5,0.0,0.18,0.33,127.77777777777777,102.22222222222221,60.19645167129609
31831,2.5,0.0,0.18,0.33,127.77777777777777,115.0,50.016664121046055
31832,2.5,0.0,0.18,0.33,127.77777777777777,127.77777777777777,39.25486039382342
31833,2.5,0.0,0.18,0.33,127.77777777777777,140.55555555555557,30.71354307457328
31834,2.5,0.0,0.18,0.33,127.77777777777777,153.33333333333334,24.475847598646595
31835,2.5,0.0,0.18,0.33,127.77777777777777,166.11111111111111,17.886758011542884
31836,2.5,0.0,0.18,0.33,138.88888888888889,97.22222222222221,77.37381960073225
31837,2.5,0.0,0.18,0.33,138.88888888888889,111.1111111111111,65.99529976357643
31838,2.5,0.0,0.18,0.33,138.88888888888889,125.0,52.98686453226656
31839,2.5,0.0,0.18,0.33,138.88888888888889,138.88888888888889,42.95921953972902
