,T,n_step,r,mu,sigma,S0,K,Price
36288,2.5,660.0,0.06,0.12,0.19,94.44444444444444,66.1111111111111,37.89368212875342
36289,2.5,660.0,0.06,0.12,0.19,94.44444444444444,75.55555555555554,29.751365491883377
36290,2.5,660.0,0.06,0.12,0.19,94.44444444444444,85.0,22.239070239973493
36291,2.5,660.0,0.06,0.12,0.19,94.44444444444444,94.44444444444444,15.005462122110888
36292,2.5,660.0,0.06,0.12,0.19,94.44444444444444,103.8888888888889,9.744553973784642
36293,2.5,660.0,0.06,0.12,0.19,94.44444444444444,113.33333333333334,5.459572043090587
36294,2.5,660.0,0.06,0.12,0.19,94.44444444444444,122.77777777777779,3.1092765213070117
36295,2.5,660.0,0.06,0.12,0.19,105.55555555555556,73.88888888888889,42.45867504176868
36296,2.5,660.0,0.06,0.12,0.19,105.55555555555556,84.44444444444444,33.386579458404526
36297,2.5,660.0,0.06,0.12,0.19,105.55555555555556,95.0,24.54150623550432
36298,2.5,660.0,0.06,0.12,0.19,105.55555555555556,105.55555555555556,16.952479280278602
36299,2.5,660.0,0.06,0.12,0.19,105.55555555555556,116.11111111111113,10.803328120518476
36300,2.5,660.0,0.06,0.12,0.19,105.55555555555556,126.66666666666669,6.302409726537441
36301,2.5,660.0,0.06,0.12,0.19,105.55555555555556,137.22222222222223,3.61086827109016
36302,2.5,660.0,0.06,0.12,0.19,116.66666666666666,81.66666666666666,46.836241356390396
36303,2.5,660.0,0.06,0.12,0.19,116.66666666666666,93.33333333333331,36.995316328563554
36304,2.5,660.0,0.06,0.12,0.19,116.66666666666666,105.0,27.078742044644972
36305,2.5,660.0,0.06,0.12,0.19,116.66666666666666,116.66666666666666,18.612648086384358
36306,2.5,660.0,0.06,0.12,0.19,116.66666666666666,128.33333333333334,11.732325950472008
36307,2.5,660.0,0.06,0.12,0.19,116.66666666666666,140.0,7.058363496802843
36308,2.5,660.0,0.06,0.12,0.19,116.66666666666666,151.66666666666666,3.7984002196213957
36309,2.5,660.0,0.06,0.12,0.19,127.77777777777777,89.44444444444443,51.24086740363812
