,T,n_step,r,mu,sigma,S0,K,Price
27216,2.0,528.0,0.03,0.24,0.33,138.88888888888889,97.22222222222221,75.86992103313648
27217,2.0,528.0,0.03,0.24,0.33,138.88888888888889,111.1111111111111,64.07528457579521
27218,2.0,528.0,0.03,0.24,0.33,138.88888888888889,125.0,52.92412878621004
27219,2.0,528.0,0.03,0.24,0.33,138.88888888888889,138.88888888888889,41.31954691173302
27220,2.0,528.0,0.03,0.24,0.33,138.88888888888889,152.7777777777778,31.909631228083047
27221,2.0,528.0,0.03,0.24,0.33,138.88888888888889,166.66666666666669,24.960458602780406
27222,2.0,528.0,0.03,0.24,0.33,138.88888888888889,180.55555555555557,17.821899750815774
27223,2.0,528.0,0.03,0.24,0.33,150.0,105.0,82.33250665044754
27224,2.0,528.0,0.03,0.24,0.33,150.0,119.99999999999999,68.7461877366889
27225,2.0,528.0,0.03,0.24,0.33,150.0,135.0,55.375941392646226
27226,2.0,528.0,0.03,0.24,0.33,150.0,150.0,44.58568845997373
27227,2.0,528.0,0.03,0.24,0.33,150.0,165.0,34.855590233977374
27228,2.0,528.0,0.03,0.24,0.33,150.0,180.00000000000003,26.242432887102513
27229,2.0,528.0,0.03,0.24,0.33,150.0,195.0,19.17012509571669
27230,2.0,528.0,0.03,0.24,0.4,50.0,35.0,27.602784117037782
27231,2.0,528.0,0.03,0.24,0.4,50.0,40.0,23.691349660961816
27232,2.0,528.0,0.03,0.24,0.4,50.0,45.0,19.050133300908676
27233,2.0,528.0,0.03,0.24,0.4,50.0,50.0,15.508049862990163
27234,2.0,528.0,0.03,0.24,0.4,50.0,55.00000000000001,12.760289386727223
27235,2.0,528.0,0.03,0.24,0.4,50.0,60.00000000000001,9.995115423447066
27236,2.0,528.0,0.03,0.24,0.4,50.0,65.0,7.749262870335761
27237,2.0,528.0,0.03,0.24,0.4,61.111111111111114,42.77777777777778,33.934014367557246
27238,2.0,528.0,0.03,0.24,0.4,61.111111111111114,48.888888888888886,28.315514032981792
27239,2.0,528.0,0.03,0.24,0.4,61.111111111111114,55.00000000000001,23.356713462839274
27240,2.0,528.0,0.03,0.24,0.4,61.111111111111114,61.111111111111114,19.36462978013981
27241,2.0,528.0,0.03,0.24,0.4,61.111111111111114,67.22222222222223,15.237800638511379
27242,2.0,528.0,0.03,0.24,0.4,61.111111111111114,73.33333333333334,12.643180377808743
27243,2.0,528.0,0.03,0.24,0.4,61.111111111111114,79.44444444444446,9.741712250256985
27244,2.0,528.0,0.03,0.24,0.4,72.22222222222223,50.55555555555556,39.52631135111908
27245,2.0,528.0,0.03,0.24,0.4,72.22222222222223,57.77777777777778,33.485725364916235
27246,2.0,528.0,0.03,0.24,0.4,72.22222222222223,65.00000000000001,28.010289546541994
27247,2.0,528.0,0.03,0.24,0.4,72.22222222222223,72.22222222222223,23.096744378369568
27248,2.0,528.0,0.03,0.24,0.4,72.22222222222223,79.44444444444446,18.40917302108932
27249,2.0,528.0,0.03,0.24,0.4,72.22222222222223,86.66666666666669,14.501303353661372
27250,2.0,528.0,0.03,0.24,0.4,72.22222222222223,93.8888888888889,11.625979663836457
27251,2.0,528.0,0.03,0.24,0.4,83.33333333333333,58.33333333333333,46.10750387087609
27252,2.0,528.0,0.03,0.24,0.4,83.33333333333333,66.66666666666666,38.46582158764952
27253,2.0,528.0,0.03,0.24,0.4,83.33333333333333,75.0,32.49219399728271
27254,2.0,528.0,0.03,0.24,0.4,83.33333333333333,83.33333333333333,26.11624300330137
27255,2.0,528.0,0.03,0.24,0.4,83.33333333333333,91.66666666666667,20.980736495083747
27256,2.0,528.0,0.03,0.24,0.4,83.33333333333333,100.00000000000001,16.656521086120016
27257,2.0,528.0,0.03,0.24,0.4,83.33333333333333,108.33333333333333,13.320665391358975
27258,2.0,528.0,0.03,0.24,0.4,94.44444444444444,66.1111111111111,52.71174760418486
27259,2.0,528.0,0.03,0.24,0.4,94.44444444444444,75.55555555555554,44.384698238804866
27260,2.0,528.0,0.03,0.24,0.4,94.44444444444444,85.0,36.171004073190865
27261,2.0,528.0,0.03,0.24,0.4,94.44444444444444,94.44444444444444,29.960049095293996
27262,2.0,528.0,0.03,0.24,0.4,94.44444444444444,103.8888888888889,23.743138609908907
27263,2.0,528.0,0.03,0.24,0.4,94.44444444444444,113.33333333333334,19.117836096197692
27264,2.0,528.0,0.03,0.24,0.4,94.44444444444444,122.77777777777779,15.42424691550952
27265,2.0,528.0,0.03,0.24,0.4,105.55555555555556,73.88888888888889,58.40711693570309
27266,2.0,528.0,0.03,0.24,0.4,105.55555555555556,84.44444444444444,49.04876903464734
27267,2.0,528.0,0.03,0.24,0.4,105.55555555555556,95.0,40.398591372672726
27268,2.0,528.0,0.03,0.24,0.4,105.55555555555556,105.55555555555556,32.920869086068755
27269,2.0,528.0,0.03,0.24,0.4,105.55555555555556,116.11111111111113,27.318649748507674
27270,2.0,528.0,0.03,0.24,0.4,105.55555555555556,126.66666666666669,21.440943167821846
27271,2.0,528.0,0.03,0.24,0.4,105.55555555555556,137.22222222222223,16.631470799940818
27272,2.0,528.0,0.03,0.24,0.4,116.66666666666666,81.66666666666666,64.77289396360666
27273,2.0,528.0,0.03,0.24,0.4,116.66666666666666,93.33333333333331,54.833320987816286
27274,2.0,528.0,0.03,0.24,0.4,116.66666666666666,105.0,44.82516287933833
27275,2.0,528.0,0.03,0.24,0.4,116.66666666666666,116.66666666666666,36.74405921847089
27276,2.0,528.0,0.03,0.24,0.4,116.66666666666666,128.33333333333334,28.888530139784013
27277,2.0,528.0,0.03,0.24,0.4,116.66666666666666,140.0,23.07785753841992
27278,2.0,528.0,0.03,0.24,0.4,116.66666666666666,151.66666666666666,18.06821908877418
27279,2.0,528.0,0.03,0.24,0.4,127.77777777777777,89.44444444444443,70.43564136210593
27280,2.0,528.0,0.03,0.24,0.4,127.77777777777777,102.22222222222221,59.87668065010608
27281,2.0,528.0,0.03,0.24,0.4,127.77777777777777,115.0,48.55119079805616
27282,2.0,528.0,0.03,0.24,0.4,127.77777777777777,127.77777777777777,40.21119079960267
27283,2.0,528.0,0.03,0.24,0.4,127.77777777777777,140.55555555555557,31.66410864850221
27284,2.0,528.0,0.03,0.24,0.4,127.77777777777777,153.33333333333334,26.17303319706165
27285,2.0,528.0,0.03,0.24,0.4,127.77777777777777,166.11111111111111,20.396533372702162
27286,2.0,528.0,0.03,0.24,0.4,138.88888888888889,97.22222222222221,76.23450169970809
27287,2.0,528.0,0.03,0.24,0.4,138.88888888888889,111.1111111111111,64.75950362709932
27288,2.0,528.0,0.03,0.24,0.4,138.88888888888889,125.0,53.9604369565601
27289,2.0,528.0,0.03,0.24,0.4,138.88888888888889,138.88888888888889,43.90747677941777
27290,2.0,528.0,0.03,0.24,0.4,138.88888888888889,152.7777777777778,35.10957027660178
27291,2.0,528.0,0.03,0.24,0.4,138.88888888888889,166.66666666666669,27.834272558002848
27292,2.0,528.0,0.03,0.24,0.4,138.88888888888889,180.55555555555557,22.32000135597445
27293,2.0,528.0,0.03,0.24,0.4,150.0,105.0,83.74188816255683
27294,2.0,528.0,0.03,0.24,0.4,150.0,119.99999999999999,69.95278186971206
27295,2.0,528.0,0.03,0.24,0.4,150.0,135.0,57.7865292783595
27296,2.0,528.0,0.03,0.24,0.4,150.0,150.0,47.66413041591505
27297,2.0,528.0,0.03,0.24,0.4,150.0,165.0,38.07576968945986
27298,2.0,528.0,0.03,0.24,0.4,150.0,180.00000000000003,31.01972287917938
27299,2.0,528.0,0.03,0.24,0.4,150.0,195.0,23.838951704838465
27300,2.0,528.0,0.03,0.3,0.05,50.0,35.0,31.61301767983929
27301,2.0,528.0,0.03,0.3,0.05,50.0,40.0,26.826065018618884
