,T,r,mu,sigma,S0,K,Price
22680,2.0,0.0,0.0,0.05,50.0,35.0,14.993240881979736
22681,2.0,0.0,0.0,0.05,50.0,40.0,9.986229218332708
22682,2.0,0.0,0.0,0.05,50.0,45.0,5.0217224917192
22683,2.0,0.0,0.0,0.05,50.0,50.0,0.8142120921140517
22684,2.0,0.0,0.0,0.05,50.0,55.00000000000001,0.010985878433467357
22685,2.0,0.0,0.0,0.05,50.0,60.00000000000001,0.0
22686,2.0,0.0,0.0,0.05,50.0,65.0,0.0
22687,2.0,0.0,0.0,0.05,61.111111111111114,42.77777777777778,18.36320288864965
22688,2.0,0.0,0.0,0.05,61.111111111111114,48.888888888888886,12.184758824661383
22689,2.0,0.0,0.0,0.05,61.111111111111114,55.00000000000001,6.132802762486699
22690,2.0,0.0,0.0,0.05,61.111111111111114,61.111111111111114,0.9913078113744528
22691,2.0,0.0,0.0,0.05,61.111111111111114,67.22222222222223,0.008214707178133416
22692,2.0,0.0,0.0,0.05,61.111111111111114,73.33333333333334,0.0
22693,2.0,0.0,0.0,0.05,61.111111111111114,79.44444444444446,0.0
22694,2.0,0.0,0.0,0.05,72.22222222222223,50.55555555555556,21.68221766788208
22695,2.0,0.0,0.0,0.05,72.22222222222223,57.77777777777778,14.448245631246024
22696,2.0,0.0,0.0,0.05,72.22222222222223,65.00000000000001,7.254545452132086
22697,2.0,0.0,0.0,0.05,72.22222222222223,72.22222222222223,1.1939175310902297
22698,2.0,0.0,0.0,0.05,72.22222222222223,79.44444444444446,0.008899986185544816
22699,2.0,0.0,0.0,0.05,72.22222222222223,86.66666666666669,0.0
22700,2.0,0.0,0.0,0.05,72.22222222222223,93.8888888888889,0.0
22701,2.0,0.0,0.0,0.05,83.33333333333333,58.33333333333333,24.941446397773024
22702,2.0,0.0,0.0,0.05,83.33333333333333,66.66666666666666,16.634432333460254
22703,2.0,0.0,0.0,0.05,83.33333333333333,75.0,8.292921937754151
22704,2.0,0.0,0.0,0.05,83.33333333333333,83.33333333333333,1.386618558414735
22705,2.0,0.0,0.0,0.05,83.33333333333333,91.66666666666667,0.01011129441279081
22706,2.0,0.0,0.0,0.05,83.33333333333333,100.00000000000001,0.0
22707,2.0,0.0,0.0,0.05,83.33333333333333,108.33333333333333,0.0
22708,2.0,0.0,0.0,0.05,94.44444444444444,66.1111111111111,28.3600989871531
22709,2.0,0.0,0.0,0.05,94.44444444444444,75.55555555555554,18.903987394918516
22710,2.0,0.0,0.0,0.05,94.44444444444444,85.0,9.473358497381193
22711,2.0,0.0,0.0,0.05,94.44444444444444,94.44444444444444,1.551473772568894
22712,2.0,0.0,0.0,0.05,94.44444444444444,103.8888888888889,0.01146534230170619
22713,2.0,0.0,0.0,0.05,94.44444444444444,113.33333333333334,0.0
22714,2.0,0.0,0.0,0.05,94.44444444444444,122.77777777777779,0.0
22715,2.0,0.0,0.0,0.05,105.55555555555556,73.88888888888889,31.67334753266056
22716,2.0,0.0,0.0,0.05,105.55555555555556,84.44444444444444,21.089431322441264
22717,2.0,0.0,0.0,0.05,105.55555555555556,95.0,10.519888467876767
22718,2.0,0.0,0.0,0.05,105.55555555555556,105.55555555555556,1.7050904779617337
22719,2.0,0.0,0.0,0.05,105.55555555555556,116.11111111111113,0.017769707896040352
22720,2.0,0.0,0.0,0.05,105.55555555555556,126.66666666666669,9.260723708367778e-05
22721,2.0,0.0,0.0,0.05,105.55555555555556,137.22222222222223,0.0
22722,2.0,0.0,0.0,0.05,116.66666666666666,81.66666666666666,34.97961690516824
22723,2.0,0.0,0.0,0.05,116.66666666666666,93.33333333333331,23.377392843767243
22724,2.0,0.0,0.0,0.05,116.66666666666666,105.0,11.691274367494707
22725,2.0,0.0,0.0,0.05,116.66666666666666,116.66666666666666,1.923493649578303
22726,2.0,0.0,0.0,0.05,116.66666666666666,128.33333333333334,0.01749326030651404
22727,2.0,0.0,0.0,0.05,116.66666666666666,140.0,0.0
22728,2.0,0.0,0.0,0.05,116.66666666666666,151.66666666666666,0.0
22729,2.0,0.0,0.0,0.05,127.77777777777777,89.44444444444443,38.32300026351102
22730,2.0,0.0,0.0,0.05,127.77777777777777,102.22222222222221,25.493904201347448
22731,2.0,0.0,0.0,0.05,127.77777777777777,115.0,12.848166969508824
22732,2.0,0.0,0.0,0.05,127.77777777777777,127.77777777777777,2.0675282830471042
22733,2.0,0.0,0.0,0.05,127.77777777777777,140.55555555555557,0.017278212605588254
22734,2.0,0.0,0.0,0.05,127.77777777777777,153.33333333333334,0.0
22735,2.0,0.0,0.0,0.05,127.77777777777777,166.11111111111111,0.0
22736,2.0,0.0,0.0,0.05,138.88888888888889,97.22222222222221,41.675515137789446
