,T,n_step,r,mu,sigma,S0,K,Price
4596,0.5,132.0,0.03,0.24,0.4,116.66666666666666,128.33333333333334,6.30803277599548
4597,0.5,132.0,0.03,0.24,0.4,116.66666666666666,140.0,2.9220625670402383
4598,0.5,132.0,0.03,0.24,0.4,116.66666666666666,151.66666666666666,1.2800106606531423
4599,0.5,132.0,0.03,0.24,0.4,127.77777777777777,89.44444444444443,45.42495837114282
4600,0.5,132.0,0.03,0.24,0.4,127.77777777777777,102.22222222222221,33.30983622996261
4601,0.5,132.0,0.03,0.24,0.4,127.77777777777777,115.0,22.02177167565871
4602,0.5,132.0,0.03,0.24,0.4,127.77777777777777,127.77777777777777,12.972522738796549
4603,0.5,132.0,0.03,0.24,0.4,127.77777777777777,140.55555555555557,6.669878259353874
4604,0.5,132.0,0.03,0.24,0.4,127.77777777777777,153.33333333333334,3.221677605548908
4605,0.5,132.0,0.03,0.24,0.4,127.77777777777777,166.11111111111111,1.3574509143642572
4606,0.5,132.0,0.03,0.24,0.4,138.88888888888889,97.22222222222221,49.60239891557623
4607,0.5,132.0,0.03,0.24,0.4,138.88888888888889,111.1111111111111,36.11290313456614
4608,0.5,132.0,0.03,0.24,0.4,138.88888888888889,125.0,23.833486905487426
4609,0.5,132.0,0.03,0.24,0.4,138.88888888888889,138.88888888888889,14.12394503183885
4610,0.5,132.0,0.03,0.24,0.4,138.88888888888889,152.7777777777778,7.3947113576623105
4611,0.5,132.0,0.03,0.24,0.4,138.88888888888889,166.66666666666669,3.5406777360264887
4612,0.5,132.0,0.03,0.24,0.4,138.88888888888889,180.55555555555557,1.5447274961429038
4613,0.5,132.0,0.03,0.24,0.4,150.0,105.0,53.486069112884685
4614,0.5,132.0,0.03,0.24,0.4,150.0,119.99999999999999,38.381079359585236
4615,0.5,132.0,0.03,0.24,0.4,150.0,135.0,25.671636238461907
4616,0.5,132.0,0.03,0.24,0.4,150.0,150.0,15.37494806988978
4617,0.5,132.0,0.03,0.24,0.4,150.0,165.0,8.061148779035367
4618,0.5,132.0,0.03,0.24,0.4,150.0,180.00000000000003,3.87298188500944
4619,0.5,132.0,0.03,0.24,0.4,150.0,195.0,1.68414387024923
4620,0.5,132.0,0.03,0.3,0.05,50.0,35.0,18.67541022730551
4621,0.5,132.0,0.03,0.3,0.05,50.0,40.0,13.746041304731223
4622,0.5,132.0,0.03,0.3,0.05,50.0,45.0,8.83156531994749
4623,0.5,132.0,0.03,0.3,0.05,50.0,50.0,3.9013114118277827
4624,0.5,132.0,0.03,0.3,0.05,50.0,55.00000000000001,0.10510052456539956
4625,0.5,132.0,0.03,0.3,0.05,50.0,60.00000000000001,0.0
4626,0.5,132.0,0.03,0.3,0.05,50.0,65.0,0.0
4627,0.5,132.0,0.03,0.3,0.05,61.111111111111114,42.77777777777778,22.81927778831581
4628,0.5,132.0,0.03,0.3,0.05,61.111111111111114,48.888888888888886,16.790390409896233
4629,0.5,132.0,0.03,0.3,0.05,61.111111111111114,55.00000000000001,10.762473519135376
4630,0.5,132.0,0.03,0.3,0.05,61.111111111111114,61.111111111111114,4.7666006750321825
4631,0.5,132.0,0.03,0.3,0.05,61.111111111111114,67.22222222222223,0.12863621246753937
4632,0.5,132.0,0.03,0.3,0.05,61.111111111111114,73.33333333333334,0.0
4633,0.5,132.0,0.03,0.3,0.05,61.111111111111114,79.44444444444446,0.0
4634,0.5,132.0,0.03,0.3,0.05,72.22222222222223,50.55555555555556,26.943473593219775
4635,0.5,132.0,0.03,0.3,0.05,72.22222222222223,57.77777777777778,19.901107400444552
4636,0.5,132.0,0.03,0.3,0.05,72.22222222222223,65.00000000000001,12.740278686209132
4637,0.5,132.0,0.03,0.3,0.05,72.22222222222223,72.22222222222223,5.632080561577917
4638,0.5,132.0,0.03,0.3,0.05,72.22222222222223,79.44444444444446,0.15580563193769992
4639,0.5,132.0,0.03,0.3,0.05,72.22222222222223,86.66666666666669,0.0
4640,0.5,132.0,0.03,0.3,0.05,72.22222222222223,93.8888888888889,0.0
4641,0.5,132.0,0.03,0.3,0.05,83.33333333333333,58.33333333333333,31.083534162679328
4642,0.5,132.0,0.03,0.3,0.05,83.33333333333333,66.66666666666666,22.890979507123536
4643,0.5,132.0,0.03,0.3,0.05,83.33333333333333,75.0,14.686885790137495
4644,0.5,132.0,0.03,0.3,0.05,83.33333333333333,83.33333333333333,6.486215656388037
4645,0.5,132.0,0.03,0.3,0.05,83.33333333333333,91.66666666666667,0.17921682595362495
