,T,r,mu,sigma,S0,K,Price
13608,1.0,0.06,0.12,0.19,94.44444444444444,66.1111111111111,32.31731378477294
13609,1.0,0.06,0.12,0.19,94.44444444444444,75.55555555555554,23.449816711398793
13610,1.0,0.06,0.12,0.19,94.44444444444444,85.0,14.757661390496924
13611,1.0,0.06,0.12,0.19,94.44444444444444,94.44444444444444,7.362088000984127
13612,1.0,0.06,0.12,0.19,94.44444444444444,103.8888888888889,2.792014581982878
13613,1.0,0.06,0.12,0.19,94.44444444444444,113.33333333333334,0.8134304484391618
13614,1.0,0.06,0.12,0.19,94.44444444444444,122.77777777777779,0.17463018770468422
13615,1.0,0.06,0.12,0.19,105.55555555555556,73.88888888888889,36.40130445644309
13616,1.0,0.06,0.12,0.19,105.55555555555556,84.44444444444444,26.010762051262553
13617,1.0,0.06,0.12,0.19,105.55555555555556,95.0,16.69944565559236
13618,1.0,0.06,0.12,0.19,105.55555555555556,105.55555555555556,8.26055062845257
13619,1.0,0.06,0.12,0.19,105.55555555555556,116.11111111111113,3.2086704236557595
13620,1.0,0.06,0.12,0.19,105.55555555555556,126.66666666666669,0.8653707514291593
13621,1.0,0.06,0.12,0.19,105.55555555555556,137.22222222222223,0.21489873871548654
13622,1.0,0.06,0.12,0.19,116.66666666666666,81.66666666666666,39.68717269067566
13623,1.0,0.06,0.12,0.19,116.66666666666666,93.33333333333331,28.672164657540698
13624,1.0,0.06,0.12,0.19,116.66666666666666,105.0,18.296636452779193
13625,1.0,0.06,0.12,0.19,116.66666666666666,116.66666666666666,9.183715194963312
13626,1.0,0.06,0.12,0.19,116.66666666666666,128.33333333333334,3.5339722846718424
13627,1.0,0.06,0.12,0.19,116.66666666666666,140.0,1.013282835475209
13628,1.0,0.06,0.12,0.19,116.66666666666666,151.66666666666666,0.22373120345352124
13629,1.0,0.06,0.12,0.19,127.77777777777777,89.44444444444443,43.590394850546865
13630,1.0,0.06,0.12,0.19,127.77777777777777,102.22222222222221,31.29851574355426
